time_s,Bx_T,By_T,Bz_T,magnitude_T
1.040000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.060000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.080000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.100000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.120000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.140000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.160000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.180000e-5,2.236680e-5,1.121213e-4,1.107681e-2,1.107740e-2
1.200000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.220000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.240000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.260000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.280000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.300000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.320000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.340000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.360000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.380000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.400000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.420000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.440000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.460000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.480000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.500000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.520000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.540000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.560000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.580000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.600000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.620000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.640000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.660000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.680000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.700000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.720000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.740000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.760000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.780000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.800000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.820000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.840000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.860000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
1.880000e-5,0.000000e0,0.000000e0,0.000000e0,0.000000e0
